Country	Subject Descriptor	Units	Scale	Country/Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	Estimates Start After	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany	Gross domestic product, constant prices	National currency	Billions	Source: National Statistics Office Latest actual data: 2023 Notes: Data from 1991 onward refer to united Germany and include FISIM. Data until 1990 are estimates for united Germany derived from available data (excluding FISIM) for the German federation only (West Germany). National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1991 Primary domestic currency: Euro Data last updated: 10/2024	1,845.002	1,847.037	1,832.479	1,860.968	1,913.561	1,955.511	2,002.783	2,032.210	2,108.126	2,190.617	2,315.996	2,432.060	2,481.060	2,456.730	2,520.560	2,558.670	2,584.980	2,633.000	2,688.380	2,745.550	2,824.640	2,870.780	2,864.220	2,848.870	2,882.240	2,907.690	3,019.980	3,107.160	3,135.440	2,961.500	3,084.300	3,200.380	3,215.400	3,227.810	3,297.920	3,352.520	3,429.270	3,522.320	3,561.640	3,597.000	3,449.530	3,576.140	3,625.040	3,615.470	3,615.724	3,644.139	3,694.962	3,737.377	3,769.065	3,797.096	2023	
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany	Gross domestic product, constant prices	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	1.272	0.110	-0.788	1.555	2.826	2.192	2.417	1.469	3.736	3.913	5.723	5.011	2.015	-0.981	2.598	1.512	1.028	1.858	2.103	2.127	2.881	1.633	-0.229	-0.536	1.171	0.883	3.862	2.887	0.910	-5.548	4.147	3.764	0.469	0.386	2.172	1.656	2.289	2.713	1.116	0.993	-4.100	3.670	1.367	-0.264	0.007	0.786	1.395	1.148	0.848	0.744	2023	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office Latest actual data: 2023 Notes: Data from 1991 onward refer to united Germany and include FISIM. Data until 1990 are estimates for united Germany derived from available data (excluding FISIM) for the German federation only (West Germany). National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1991 Primary domestic currency: Euro Data last updated: 10/2024	795.079	829.927	862.701	904.602	948.992	990.789	1,047.729	1,082.058	1,139.309	1,211.702	1,322.262	1,591.610	1,709.890	1,757.340	1,838.020	1,899.930	1,928.560	1,967.180	2,022.310	2,077.240	2,129.660	2,195.530	2,223.360	2,240.810	2,293.040	2,325.710	2,426.180	2,542.220	2,589.680	2,494.870	2,616.060	2,747.810	2,800.380	2,867.280	2,985.170	3,085.650	3,196.110	3,331.110	3,431.130	3,534.880	3,449.620	3,676.460	3,953.850	4,185.550	4,322.445	4,484.369	4,647.504	4,793.383	4,931.295	5,068.500	2023	,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	856.833	720.895	696.088	694.447	654.289	663.459	947.583	1,179.165	1,271.263	1,262.000	1,604.497	1,882.489	2,146.140	2,080.092	2,220.165	2,595.269	2,507.448	2,221.504	2,250.847	2,216.072	1,967.850	1,966.395	2,100.865	2,534.081	2,851.023	2,894.992	3,046.470	3,484.467	3,808.369	3,476.022	3,470.987	3,824.155	3,600.175	3,808.142	3,966.823	3,423.915	3,536.808	3,761.764	4,053.846	3,957.645	3,936.989	4,351.188	4,166.872	4,527.009	4,710.032	4,921.563	5,117.180	5,267.977	5,415.468	5,566.083	2023	,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany	Gross domestic product, current prices	Purchasing power parity; international dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	922.381	1,010.763	1,064.763	1,123.659	1,197.117	1,262.046	1,318.578	1,371.107	1,472.487	1,590.106	1,744.029	1,893.376	1,975.542	2,002.531	2,098.435	2,174.820	2,237.411	2,318.272	2,393.638	2,479.131	2,608.322	2,710.617	2,746.451	2,785.662	2,894.072	3,011.181	3,223.915	3,406.848	3,504.083	3,330.105	3,510.341	3,717.608	3,804.599	3,884.288	4,037.780	4,142.722	4,277.828	4,472.593	4,665.363	4,924.979	4,880.368	5,237.198	5,687.297	5,876.407	6,017.222	6,174.688	6,376.988	6,568.708	6,745.813	6,920.617	2023	,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany	Gross domestic product, deflator	Index	Units	See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).	43.094	44.933	47.078	48.609	49.593	50.667	52.314	53.245	54.044	55.313	57.093	65.443	68.918	71.532	72.921	74.255	74.606	74.712	75.224	75.658	75.396	76.479	77.625	78.656	79.558	79.985	80.338	81.818	82.594	84.243	84.819	85.859	87.093	88.831	90.517	92.040	93.201	94.571	96.336	98.273	100.003	102.805	109.071	115.768	119.546	123.057	125.779	128.255	130.836	133.484	2023	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
